time,temperature,humidity,feels_like,wind_speed,wind_direction,wind_gusts,weather_code,cloud_cover,precipitation,rain,showers,snowfall,surface_pressure,visibility
2026-06-24T00:00,28.2,91,35.0,6.2,173,13.0,3,100,0.0,0.0,0.0,0.0,1000.0,
2026-06-24T01:00,28.2,91,35.2,4.9,172,12.6,3,100,0.0,0.0,0.0,0.0,999.6,
2026-06-24T02:00,28.0,92,35.4,3.0,213,10.1,3,100,0.0,0.0,0.0,0.0,999.6,
2026-06-24T03:00,28.0,93,35.5,2.6,245,5.8,3,100,0.0,0.0,0.0,0.0,999.7,
2026-06-24T04:00,27.9,93,35.4,2.7,228,6.1,3,100,0.0,0.0,0.0,0.0,1000.0,
2026-06-24T05:00,28.6,88,35.2,6.9,217,7.2,3,100,0.0,0.0,0.0,0.0,1000.1,
2026-06-24T06:00,29.0,86,36.0,4.5,182,13.7,3,100,0.0,0.0,0.0,0.0,1000.7,
2026-06-24T07:00,29.2,87,36.6,3.4,186,9.4,3,100,0.0,0.0,0.0,0.0,1000.9,
2026-06-24T08:00,30.3,81,37.5,3.9,217,10.8,3,100,0.0,0.0,0.0,0.0,1001.3,
2026-06-24T09:00,30.9,75,37.8,3.2,251,12.6,3,95,0.0,0.0,0.0,0.0,1001.2,
2026-06-24T10:00,32.1,70,39.3,3.4,264,14.0,3,100,0.0,0.0,0.0,0.0,1001.3,
2026-06-24T11:00,33.4,68,40.7,4.0,180,14.8,3,98,0.0,0.0,0.0,0.0,1001.0,
2026-06-24T12:00,28.1,91,34.4,8.7,173,37.4,63,100,5.2,5.2,0.0,0.0,1000.7,
2026-06-24T13:00,29.1,88,36.3,5.5,171,20.5,51,98,0.2,0.2,0.0,0.0,999.9,
2026-06-24T14:00,30.9,81,38.7,2.7,180,17.3,51,100,0.1,0.1,0.0,0.0,999.7,
2026-06-24T15:00,30.8,81,38.1,6.0,171,15.8,3,100,0.0,0.0,0.0,0.0,999.3,
2026-06-24T16:00,30.6,83,37.9,6.2,172,16.9,3,100,0.0,0.0,0.0,0.0,999.3,
2026-06-24T17:00,30.2,78,36.6,5.5,142,15.5,3,97,0.0,0.0,0.0,0.0,998.8,
2026-06-24T18:00,29.5,81,35.4,9.6,160,20.5,3,97,0.0,0.0,0.0,0.0,999.4,
2026-06-24T19:00,28.9,85,34.9,9.8,166,22.0,3,96,0.0,0.0,0.0,0.0,1000.2,
2026-06-24T20:00,28.6,86,34.6,9.6,160,22.3,3,96,0.0,0.0,0.0,0.0,1001.0,
2026-06-24T21:00,28.4,87,34.6,8.2,158,20.2,2,60,0.0,0.0,0.0,0.0,1001.7,
2026-06-24T22:00,28.3,89,34.6,8.6,160,17.6,2,77,0.0,0.0,0.0,0.0,1002.1,
2026-06-24T23:00,29.0,92,36.2,9.0,160,20.2,3,98,0.0,0.0,0.0,0.0,1001.2,
2026-06-25T00:00,29.0,93,36.4,8.6,170,18.4,3,87,0.0,0.0,0.0,0.0,1001.2,
2026-06-25T01:00,29.3,92,36.7,8.8,185,18.7,1,49,0.0,0.0,0.0,0.0,1000.9,
2026-06-25T02:00,29.1,92,36.7,7.3,170,18.7,2,63,0.0,0.0,0.0,0.0,1000.7,
2026-06-25T03:00,29.0,93,36.4,8.0,172,16.9,1,45,0.0,0.0,0.0,0.0,1000.8,
2026-06-25T04:00,28.7,93,36.1,7.3,152,16.6,2,60,0.0,0.0,0.0,0.0,1001.1,
2026-06-25T05:00,28.0,95,34.9,8.6,158,15.1,3,83,0.0,0.0,0.0,0.0,1001.8,
2026-06-25T06:00,28.0,96,35.9,2.7,122,16.9,51,70,0.2,0.2,0.0,0.0,1002.2,
2026-06-25T07:00,29.1,94,37.3,4.0,148,13.3,55,13,1.0,1.0,0.0,0.0,1002.7,
2026-06-25T08:00,31.5,83,39.3,8.3,176,22.7,51,63,0.2,0.2,0.0,0.0,1002.6,
2026-06-25T09:00,32.4,80,40.7,7.0,181,22.7,2,65,0.0,0.0,0.0,0.0,1002.5,
2026-06-25T10:00,33.0,76,41.1,7.1,186,20.5,1,38,0.0,0.0,0.0,0.0,1002.1,
2026-06-25T11:00,34.9,62,43.4,5.4,180,25.6,1,46,0.0,0.0,0.0,0.0,1001.6,
2026-06-25T12:00,32.1,71,39.9,7.4,184,23.8,55,93,1.1,1.1,0.0,0.0,1001.9,
2026-06-25T13:00,31.0,73,36.2,13.8,156,31.7,51,99,0.4,0.4,0.0,0.0,1001.5,
2026-06-25T14:00,30.5,76,36.2,10.1,161,33.8,51,49,0.1,0.1,0.0,0.0,1000.6,
2026-06-25T15:00,31.3,77,37.7,9.9,177,25.6,2,70,0.0,0.0,0.0,0.0,1000.4,
2026-06-25T16:00,30.8,80,37.6,8.8,181,25.2,1,37,0.0,0.0,0.0,0.0,1000.0,
2026-06-25T17:00,28.2,80,33.4,8.0,155,21.2,3,98,0.0,0.0,0.0,0.0,1000.8,
2026-06-25T18:00,28.1,83,33.8,6.0,153,18.0,3,100,0.0,0.0,0.0,0.0,1001.6,
2026-06-25T19:00,28.1,85,34.1,6.6,147,14.8,3,100,0.0,0.0,0.0,0.0,1002.5,
2026-06-25T20:00,28.1,87,34.4,6.2,142,14.4,51,100,0.1,0.1,0.0,0.0,1003.1,
2026-06-25T21:00,28.1,88,34.8,4.5,133,12.6,3,100,0.0,0.0,0.0,0.0,1003.5,
2026-06-25T22:00,28.1,88,34.7,4.9,126,9.7,3,100,0.0,0.0,0.0,0.0,1003.6,
2026-06-25T23:00,27.1,88,32.5,8.8,157,10.8,3,100,0.0,0.0,0.0,0.0,1002.6,
2026-06-26T00:00,27.1,89,32.9,7.0,168,18.4,3,100,0.0,0.0,0.0,0.0,1002.1,
2026-06-26T01:00,27.1,90,33.2,6.0,170,14.8,3,100,0.0,0.0,0.0,0.0,1002.1,
2026-06-26T02:00,27.2,92,33.5,5.9,162,12.6,3,99,0.0,0.0,0.0,0.0,1002.3,
2026-06-26T03:00,27.3,92,33.5,6.7,149,14.4,2,50,0.0,0.0,0.0,0.0,1002.6,
2026-06-26T04:00,27.0,93,33.8,3.3,144,14.0,2,55,0.0,0.0,0.0,0.0,1002.7,
2026-06-26T05:00,27.5,95,34.5,5.2,134,6.8,1,24,0.0,0.0,0.0,0.0,1003.2,
2026-06-26T06:00,28.3,92,35.6,4.5,140,11.9,0,7,0.0,0.0,0.0,0.0,1003.4,
2026-06-26T07:00,29.6,87,37.1,5.0,154,15.1,1,23,0.0,0.0,0.0,0.0,1003.8,
2026-06-26T08:00,31.0,79,37.8,7.4,193,21.2,2,55,0.0,0.0,0.0,0.0,1004.3,
2026-06-26T09:00,32.1,72,39.4,5.7,189,20.2,2,73,0.0,0.0,0.0,0.0,1004.6,
2026-06-26T10:00,32.7,70,40.7,4.7,176,17.6,3,82,0.0,0.0,0.0,0.0,1004.5,
2026-06-26T11:00,31.5,76,40.2,8.5,175,18.7,51,100,0.1,0.1,0.0,0.0,1004.2,
2026-06-26T12:00,29.3,86,37.7,2.4,81,27.4,63,82,5.1,5.1,0.0,0.0,1004.1,
2026-06-26T13:00,31.2,79,39.4,4.0,150,15.5,53,13,0.8,0.8,0.0,0.0,1002.4,
