date,temp_max,temp_min,feels_like_max,feels_like_min,precipitation_mm,rain_mm,showers_mm,snowfall_cm,precipitation_hours,wind_speed_max,wind_gusts_max,wind_direction,sunrise,sunset,daylight_duration_sec,sunshine_duration_sec,weather_code,thunderstorm
2026-06-26,32.8,26.8,41.2,32.5,4.4,4.4,0.0,0.0,3.0,12.1,29.5,168,2026-06-26T04:53,2026-06-26T18:24,48666.98,44127.24,63,No
2026-06-27,34.3,27.3,41.6,33.8,1.9,1.9,0.0,0.0,7.0,12.2,26.6,167,2026-06-27T04:53,2026-06-27T18:24,48658.11,43577.75,53,No
2026-06-28,33.0,27.5,41.8,33.4,7.6,7.6,0.0,0.0,9.0,13.7,32.0,184,2026-06-28T04:54,2026-06-28T18:25,48647.6,41022.82,63,No
2026-06-29,33.5,26.8,41.7,33.0,23.1,23.1,0.0,0.0,14.0,11.6,30.2,171,2026-06-29T04:54,2026-06-29T18:25,48635.47,30449.16,63,No
2026-06-30,32.4,26.5,40.5,32.8,13.5,13.5,0.0,0.0,13.0,13.2,32.8,169,2026-06-30T04:54,2026-06-30T18:25,48621.72,24071.36,63,No
2026-07-01,31.3,26.0,38.2,31.4,6.3,6.3,0.0,0.0,16.0,9.2,24.8,154,2026-07-01T04:55,2026-07-01T18:25,48606.35,37792.91,61,No
2026-07-02,33.1,26.0,40.4,32.2,11.6,11.6,0.0,0.0,11.0,13.7,40.3,128,2026-07-02T04:55,2026-07-02T18:25,48589.21,41207.5,65,No
2026-07-03,32.6,27.0,39.6,33.3,4.5,4.5,0.0,0.0,12.0,15.8,42.5,95,2026-07-03T04:55,2026-07-03T18:25,48570.26,38111.98,55,No
2026-07-04,32.1,27.5,36.6,32.2,4.8,4.8,0.0,0.0,12.0,21.4,51.1,83,2026-07-04T04:56,2026-07-04T18:25,48549.55,39600.0,63,No
2026-07-05,30.4,26.9,35.6,31.2,9.7,9.7,0.0,0.0,22.0,18.2,40.7,104,2026-07-05T04:56,2026-07-05T18:25,48527.13,16807.93,61,No
2026-07-06,30.7,25.5,36.1,30.2,18.0,18.0,0.0,0.0,24.0,16.9,42.5,159,2026-07-06T04:56,2026-07-06T18:25,48503.04,26201.07,63,No
2026-07-07,29.4,25.0,35.3,29.8,23.7,23.7,0.0,0.0,14.0,21.2,48.2,187,2026-07-07T04:57,2026-07-07T18:25,48477.32,20931.95,63,No
