date,temp_max,temp_min,rain_mm
2026-06-25,32.2,18.7,0.0
2026-06-26,31.9,19.5,0.0
2026-06-27,33.8,21.5,0.0
2026-06-28,33.2,21.4,0.0
2026-06-29,33.9,20.6,0.0
2026-06-30,34.6,20.6,0.0
2026-07-01,34.9,21.8,0.0
2026-07-02,31.4,21.5,0.1
2026-07-03,31.3,19.6,0.0
2026-07-04,31.5,18.2,0.0
2026-07-05,31.8,18.8,0.0
2026-07-06,32.2,19.7,0.0
2026-07-07,31.4,17.9,0.0
2026-07-08,31.3,18.2,0.0
2026-07-09,31.9,18.7,0.0
2026-07-10,32.9,20.4,0.0
2026-07-11,31.3,19.1,0.0
2026-07-12,29.4,18.6,0.0
2026-07-13,29.8,17.9,0.0
2026-07-14,30.9,17.8,0.0
2026-07-15,32.4,18.4,0.0
2026-07-16,33.2,20.0,0.0
2026-07-17,33.8,20.6,0.0
2026-07-18,35.3,20.9,0.0
2026-07-19,35.4,21.8,0.0
2026-07-20,35.5,22.9,0.0
2026-07-21,34.6,22.4,0.0
2026-07-22,33.8,21.6,0.0
2026-07-23,30.5,20.5,0.0
2026-07-24,29.7,20.2,0.0
2026-07-25,31.2,19.8,0.0
